name,phrase,numberOfWords
HAN,Ya think hunting Rathtars is cheap I spent that money,10
HAN,I never made a deal with Kanjiklub,7
HAN,Tasu Leech Good to see you,6
HAN,Boys You're both gonna get what I promised Have I ever not delivered for you before,16
HAN,What was the second time,5
HAN,First I've heard of it,5
REY,Wait wait wait wait If we close the blast doors in that corridor we can trap both gangs,18
FINN,Close the blast doors from here,6
REY,Resetting the fuses should do it,6
HAN, I got a bad feeling about this,7
REY,Oh no,2
FINN,Oh no what,3
REY,Wrong fuses,2
FINN,This was a mistake,4
REY,Huge,1
REY,What do they look like,5
FINN,They look like that,4
FINN,This way,2
REY,Are you sure,3
REY,Finn,1
FINN,It had me But the door,6
REY,That was lucky,3
HAN,I got the door Cover us,6
HAN,Chewie You okay,3
HAN,Wow Come on Come on,5
REY,Han,1
HAN,You close the door behind us,6
HAN,Hey where are you going,5
REY,Unkar Plutt installed a fuel pump too if we don't prime that we're not going anywhere,16
HAN,I hate that guy,4
REY,And you could use a co-pilot,6
HAN,I got one he's back there,6
HAN,Watch the thrust we're goin' out of here at lightspeed,10
REY,From inside the hangar Is that even possible,8
HAN,I never ask that question until after I've done it,10
HAN,This is not how I thought this day was gonna go angle the shields Hang on back there,18
FINN,No problem,2
HAN,Come on baby don't let me down,7
HAN,What,1
REY,Compressor,1
SNOKE,The droid will soon be delivered to the Resistance,9
SNOKE, Leading them to the last Jedi If Skywalker returns the new Jedi will rise,14
GENERAL HUX,Supreme Leader I take full responsibility for th,8
SNOKE,General Our strategy must now change,6
GENERAL HUX,The weapon It is ready I believe the time has come to use it We shall destroy the government that supports the Resistance the Republic Without their friends to protect them the Resistance will be vulnerable and we will stop them before they reach Skywalker,45
SNOKE,Go Oversee preparations,3
GENERAL HUX,Yes Supreme Leader,3
SNOKE,There's been an awakening Have you felt it,8
KYLO REN,Yes,1
SNOKE,There's something more The droid we seek is aboard the Millennium Falcon In the hands of your father Han Solo,20
KYLO REN,He means nothing to me,5
SNOKE,Even you master of the Knights of Ren have never faced such a test,14
KYLO REN,By the grace of your training I will not be seduced,11
SNOKE,We shall see We shall see,6
HAN,Electrical overload,2
REY,I can fix that,4
HAN,The coolant's leaking,3
REY,Try transferring auxiliary power to the secondary tank,8
HAN,Secondary tank I got it,5
FINN,Chewie come on I need help with this giant hairy thing Stop moving Chewie,14
HAN,You hurt Chewie you're gonna deal with me,8
FINN,Hurt him He almost killed me six times Which is fine,11
HAN,This hyperdrive blows there's gonna be pieces of us in three different systems,13
HAN,What'd you do,3
REY,I by-passed the compressor,4
HAN,Move Ball,2
HAN,Nah don't say that you did great Just rest,9
HAN,Good job kid And thanks,5
FINN,You're welcome,2
HAN,So fugitives huh,3
REY,The First Order wants the map,6
REY,Finn is with the Resistance,5
HAN,Let's see whatcha got,4
REY,Go ahead,2
HAN,This map's not complete It's just a piece Ever since Luke disappeared people have been looking for him,18
REY,Why'd he leave,3
HAN,He was training a new generation of Jedi One boy an apprentice turned against him destroyed it all Luke felt responsible He walked away from everything,26
FINN,Do you know what happened to him,7
HAN,There're a lot of rumors Stories The people who knew him the best think he went looking for the first Jedi temple,22
REY,The Jedi were real,4
HAN,I used to wonder that myself Thought it was a bunch of mumbo-jumbo magical power holding together good evil the dark side and the light,25
HAN,No you rest You want my help You're getting it Gonna see an old friend She'll get your droid home This is our stop,24
REY, I didn't know there was this much green in the whole galaxy,12
FINN,Hey Solo I'm not sure what we're walking into here,10
HAN,D'you just call me Solo,5
FINN,Sorry HanMr Solo You should know I'm a big deal in the Resistance Which puts a real target on my back Are there any conspirators here First Order sympathizers,29
HAN,Listen big deal you've got another problem Women always figure out the truth,13
HAN,Always,1
HAN,You might need this,4
REY,I think I can handle myself,6
HAN,I know you do That's why I'm giving it to you Take it,13
HAN,You know how to use one of these,8
REY,Yeah you pull the trigger,5
HAN,There's a little bit more to it than that You got a lot to learn You got a name,19
REY,Rey,1
HAN,Rey I've been thinkin' about bringing on some more crew Rey A second mate Someone to help out Someone who can keep up with Chewie and me appreciates the Falcon,30
REY,Are you offering me a job,6
HAN,I wouldn't be nice to you It doesn't pay much,10
REY,You're offering me a job,5
HAN,I'm thinking about it,4
HAN,Well,1
REY,If you were I'd be flattered But I have to get home,12
HAN,Jakku,1
REY,I've already been away too long,6
HAN,Chewie check out the ship as best you can,9
HAN,It's too bad Chewie kind of likes you,8
FINN,Solo why are we here again,6
HAN,To get your droid on a clean ship,8
REY,Clean,1
HAN,Do you think it was luck that Chewie and I found the Falcon If we can find it on our scanners the First Order's not far behind Want to get BB-8 to the Resistance Maz Kanata is our best bet,40
FINN,We can trust her right,5
HAN,Relax kid She's run this watering hole for a thousand years Maz is a bit of an acquired taste so let me do the talking And whatever you do don't stare,31
REY,At what,2
HAN,Any of it,3
MAZ,Han Solo,2
HAN,Hey Maz,2
MAZ,Where's my boyfriend,3
HAN,Chewie's working on the Falcon,5
MAZ,I like that Wookiee I assume you need something Desperately Let's get to it,14
KYLO REN,Forgive me I feel it again The pull to the light Supreme Leader senses it Show me again the power of the darkness and I will let nothing stand in our way Show me Grandfather and I will finish what you started,42
MAZ,A map to Skywalker himself You're right back in the mess,11
HAN,Maz I need you to get this droid to Leia,10
MAZ,Hmm No You've been running away from this fight for too long Han nyakee nago wadda Go home,18
HAN,Leia doesn't want to see me,6
FINN,Please we came here for your help,7
REY,What fight,2
MAZ,The only fight against the dark side Through the ages I've seen evil take many forms The Sith The Empire Today it is the First Order Their shadow is spreading across the galaxy We must face them Fight them All of us,42
FINN,There is no fight against the First Order Not one we can win Look around There's no chance we haven't been recognized already I bet you the First Order is on their way right,34
FINN,What's this What are you doing,6
FINN,Solo what is she doing,5
HAN,I don't know but it ain't good,7
MAZ,If you live long enough you see the same eyes in different people I'm looking at the eyes of a man who wants to run,25
FINN,You don't know a thing about me Where I'm from What I've seen,13
FINN,You don't know the First Order like I do They'll slaughter us We all need to run,17
MAZ,You see those two They'll trade work for transportation to the Outer Rim There you can disappear,17
REY,Finn,1
FINN,Come with me,3
REY,What about BB-8 We're not done yet We have to get him back to your base,16
FINN,I can't,2
HAN,Keep it kid,3
MAZ,Who's the girl,3
FINN,I was told you could get me to the Outer Rim,11
