name,phrase,numberOfWords
OWEN,Luke I'm shutting the power down for the night,9
LUKE,All right I'll be there in a few minutes Boy am I gonna get it,15
LUKE,You know that little droid is going to cause me a lot of trouble,14
C3PO,Oh he excels at that sir,6
OWEN,Luke Luke Luke Where could he be loafing now,9
OWEN,Have you seen Luke this morning,6
AUNT BERU,He said he had some things to do before he started today so he left early,16
OWEN,Uh Did he take those two new droids with him,10
AUNT BERU,I think so,3
OWEN,Well he'd better have those units in the south range repaired be midday or there'll be hell to pay,19
LUKE,How's that,2
LUKE,Old Ben Kenobi lives out in this direction somewhere but I don't see how that R2 unit could have come this far We must have missed him Uncle Owen isn't going to take this very well,36
C3PO,Sir would it help if you told him it was my fault,12
LUKE,Sure He needs you He'd probably only deactivate you for a day or so,14
C3PO,Deactivate Well on the other hand if you hadn't removed his restraining bolt,13
LUKE,Wait there's something dead ahead on the scanner It looks like our droid hit the accelerator,16
LUKE,Hey whoa just where do you think you're going,9
C3PO,Master Luke here is your rightful owner We'll have no more of this Obi-Wan Kenobi jibberish and don't talk to me about your mission either You're fortunate he doesn't blast you into a million pieces right here,37
LUKE,Well come on It's getting late I only hope we can get back before Uncle Owen really blows up,19
C3PO,If you don't mind my saying so sir I think you should deactivate the little fugitive until you've gotten him back to your workshop,24
LUKE,No he's not going to try anything,7
LUKE,What's wrong with him now,5
C3PO,Oh my sir he says there are several creatures approaching from the southeast,13
LUKE,Sandpeople Or worst Come on let's have a look Come on,11
LUKE,There are two Banthas down there but I don't see any wait a second they're Sandpeople all right I can see one of them now,25
BEN,Hello there Come here my little friend Don't be afraid,10
BEN,Don't worry he'll be all right,6
LUKE,What happened,2
BEN,Rest easy son you've had a busy day You're fortunate you're still in one piece,15
LUKE,Ben Ben Kenobi Boy am I glad to see you,10
BEN,The Jundland wastes are not to be traveled lightly Tell me young Luke what brings you out this far,19
LUKE,Oh this little droid I think he's searching for his former master I've never seen such devotion in a droid before there seems to be no stopping him He claims to be the property of an Obi-Wan Kenobi Is he a relative of yours Do you know who he's talking about,51
BEN,Obi-Wan Kenobi Obi-Wan Now thats a name I haven't heard in a long time a long time,17
LUKE,I think my uncle knew him He said he was dead,11
BEN,Oh he's not dead not not yet,7
LUKE,You know him,3
BEN,Well of course of course I know him He's me I haven't gone by the name Obi-Wan since oh before you were born,23
LUKE,Then the droid does belong to you,7
BEN,Don't seem to remember ever owning a droid Very interesting,10
BEN,I think we better get indoors The Sandpeople are easily startled but they will soon be back and in greater numbers,21
LUKE,C3PO,1
C3PO,Where am I I must have taken a bad step,10
LUKE,Can you stand We've got to get out of here before the Sandpeople return,14
C3PO,I don't think I can make it You go on Master Luke There's no sense in you risking yourself on my account I'm done for,25
LUKE,No you're not What kind of talk is that,9
BEN,Quickly son they're on the move,6
LUKE,No my father didn't fight in the wars He was a navigator on a spice freighter,16
BEN,That's what your uncle told you He didn't hold with your father's ideals Thought he should have stayed here and not gotten involved,23
LUKE,You fought in the Clone Wars,6
BEN,Yes I was once a Jedi Knight the same as your father,12
LUKE,I wish I'd known him,5
BEN,He was the best star-pilot in the galaxy and a cunning warrior I understand you've become quite a good pilot yourself And he was a good friend Which reminds me,30
BEN,I have something here for you Your father wanted you to have this when you were old enough but your uncle wouldn't allow it He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did,40
C3PO,Sir if you'll not be needing me I'll close down for awhile,12
LUKE,Sure go ahead,3
LUKE,What is it,3
BEN,Your fathers lightsaber This is the weapon of a Jedi Knight Not as clumsy or as random as a blaster,20
BEN,An elegant weapon for a more civilized time For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic Before the dark times before the Empire,34
LUKE,How did my father die,5
BEN,A young Jedi named Darth Vader who was a pupil of mine until he turned to evil helped the Empire hunt down and destroy the Jedi Knights He betrayed and murdered your father Now the Jedi are all but extinct Vader was seduced by the dark side of the Force,50
LUKE,The Force,2
BEN,Well the Force is what gives a Jedi his power It's an energy field created by all living things It surrounds us and penetrates us It binds the galaxy together,30
BEN,Now let's see if we can't figure out what you are my little friend And where you come from,19
LUKE,I saw part of the message he was,8
BEN,I seem to have found it,6
LEIA,General Kenobi years ago you served my father in the Clone Wars Now he begs you to help him in his struggle against the Empire I regret that I am unable to present my father's request to you in person but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit My father will know how to retrieve it You must see this droid safely delivered to him on Alderaan This is our most desperate hour Help me Obi-Wan Kenobi you're my only hope,111
BEN,You must learn the ways of the Force if you're to come with me to Alderaan,16
LUKE,Alderaan I'm not going to Alderaan I've got to go home It's late I'm in for it as it is,20
BEN,I need your help Luke She needs your help I'm getting too old for this sort of thing,18
LUKE,I can't get involved I've got work to do It's not that I like the Empire I hate it But there's nothing I can do about it right now It's such a long way from here,36
BEN,That's your uncle talking,4
LUKE,Oh God my uncle How am I ever going to explain this,12
BEN,Learn about the Force Luke,5
LUKE,Look I can take you as far as Anchorhead You can get a transport there to Mos Eisley or wherever you're going,22
BEN,You must do what you feel is right of course,10
TAGGE,Until this battle station is fully operational we are vulnerable The Rebel Alliance is too well equipped They're more dangerous than you realize,23
MOTTI,Dangerous to your starfleet Commander not to this battle station,10
TAGGE,The Rebellion will continue to gain a support in the Imperial Senate as long as,15
TARKIN,The Imperial Senate will no longer be of any concern to us I've just received word that the Emperor has dissolved the council permanently The last remnants of the Old Republic have been swept away,35
TAGGE,That's impossible How will the Emperor maintain control without the bureaucracy,11
TARKIN,The regional governors now have direct control over territories Fear will keep the local systems in line Fear of this battle station,22
TAGGE,And what of the Rebellion If the Rebels have obtained a complete technical readout of this station it is possible however unlikely that they might find a weakness and exploit it,31
VADER,The plans you refer to will soon be back in our hands,12
MOTTI,Any attack made by the Rebels against this station would be a useless gesture no matter what technical data they've obtained This station is now the ultimate power in the universe I suggest we use it,36
VADER,Don't be too proud of this technological terror you've constructed The ability to destroy a planet is insignificant next to the power of the Force,25
